WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 209-962-906
INFO:werkzeug: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO:werkzeug: * Detected change in 'F:\\Repos\\Sheriff_Sale\\flask_app\\scrapers\\sheriff_sale.py', reloading
2020-03-17 15:59:01,407:ERROR:1008-1010 IRONBOUND AVENUE PLAINFIELD NJ 07060-2702
2020-03-17 15:59:01,407:ERROR:555 JEFFERSON AVENUE ELIZABETH NJ 07201
2020-03-17 15:59:01,407:ERROR:904 THIRD AVENUE ELIZABETH NJ 07201
2020-03-17 15:59:01,407:ERROR:1062 WILLIAM STREET ELIZABETH NJ 07201
2020-03-17 15:59:01,407:ERROR:48-50 ANDOVER AVENUE MAILING ADDRESS: 48 ANDOVER AVENUE PLAINFIELD NJ 07060
2020-03-17 15:59:01,407:ERROR:840 MARTIN STREET ELIZABETH NJ 07201
2020-03-17 15:59:01,407:ERROR:732-34 WEBSTER PLACE PLAINFIELD NJ 07060
2020-03-17 15:59:01,407:ERROR:565-567 THIRD AVENUE A/K/A 565 THIRD AVENUE ELIZABETH NJ 07202
2020-03-17 15:59:01,407:ERROR:920 SAVITT PLACE UNION NJ 07083
2020-03-17 15:59:01,407:ERROR:232 PARMALEE PLACE ELIZABETH NJ 07201
2020-03-17 15:59:01,407:ERROR:737 COOLIDGE STREET PLAINFIELD NJ 07062
2020-03-17 15:59:01,407:ERROR:535 OAK RIDGE ROAD CLARK NJ 07066
2020-03-17 15:59:01,407:ERROR:19 TULIP ROAD SPRINGFIELD NJ 07081
2020-03-17 15:59:01,407:ERROR:928-930 ESSEX AVENUE LINDEN NJ
2020-03-17 15:59:01,407:ERROR:409 CENTER STREET GARWOOD NJ 07027
2020-03-17 15:59:01,407:ERROR:1107 PASSAIC AVENUE LINDEN NJ 07036
2020-03-17 15:59:01,407:ERROR:332 CHILTON STREET ELIZABETH NJ 07208
2020-03-17 15:59:01,408:ERROR:214 SCOTCH PLAINS AVENUE WESTFIELD NJ 07090
2020-03-17 15:59:01,408:ERROR:57 POST ROAD CLARK NJ 07066
2020-03-17 15:59:01,408:ERROR:573-575 MADISON AVENUE ELIZABETH NJ 07206
